STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,INST_TYPE_EDU,Type of educational institution,EDUCATION_LEV,Education level,PERS_TYPE,Type of personnel,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,STATISTICAL_OPERATION,Statistical operation,REF_PERIOD,Reference period,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,PER,Peru,WKT_STA_WKS,Statutory working time required at school,H_Y,Hours per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,967.5,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,NOR,Norway,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,ARG,Argentina,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,CHN,China (People's Republic of),WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,HRV,Croatia,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,IND,India,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,AUS,Australia,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,AUT,Austria,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,CAN,Canada,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,DNK,Denmark,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_WT@DF_STA_TCH(2.0),Teachers' statutory teaching and working time,I,FIN,Finland,WKT_STA_TCH,Statutory teaching time,D_Y,Days per year,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
