STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MCO,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Monaco,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,76.8888931274414,80.5615615844727,77.5210113525391,79.7468414306641,71.4606704711914,79.921257019043
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Uzbekistan,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,100.0,97.8819227971737,97.2795867919922,100.0,98.9003829956055,100.0,100.0,100.0,100.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Indonesia,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,38.3049187441556,37.1861171027259,36.6715916242986
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Caribbean small states,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,83.1663589477539,84.0286331176758,79.5337677001953,77.7503890991211,77.0908813476562,76.6220626831055,72.0502624511719,68.2195434570312,66.1956405639648,70.851692199707,72.7947998046875,72.8121490478516,74.4015884399414,75.4091720581055,79.8339462280273,80.3041534423828,79.0651626586914,78.394172668457,80.5352172851562,79.4865493774414,80.352912902832,81.4286575317383,80.7086791992188
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NGA,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Nigeria,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,79.4572830200195,,,70.0289993286133,,,,45.9325302809488,,,,,,,,66.791358266499,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MEX,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Mexico,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,88.7963714599609,89.3671112060547,85.318000793457,90.0062484741211,88.7864685058594,89.8532409667969,90.9956512451172,85.6728668212891,91.7975769042969,83.1133804321289,85.9875183105469,87.3729782104492,88.4887390136719,89.2460479736328,89.9373321533203,86.4580383300781,87.38134765625,88.2744522094727,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Eastern & Southern Africa,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,69.2460632324219,67.3307495117188,63.5546607971191,63.2099800109863,60.9725303649902,56.2616500854492,56.3119201660156,61.4890785217285,62.5127410888672,66.4320602416992,62.2321395874023,57.660270690918,58.9477806091309,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Zimbabwe,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,71.0912628173828,72.9505694493366,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KEN,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Kenya,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,97.7874526977539,95.0399627685547,97.1966400146484,92.3426208496094,,,,,,,,,,,,,,100.0,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FCS,WB_WDI_SE_SEC_TCAQ_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Trained teachers in secondary education (% of total teachers),0,WB_WDI,PU,A,Annual,Fragile and conflict affected situations,Trained teachers in secondary education (% of total teachers),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,67.0543975830078,66.3295974731445,65.1176681518555,59.7980194091797,64.5066986083984,62.0951118469238,66.090202331543,67.8835525512695,69.8678817749023,70.0194702148438,71.0860137939453,68.4997406005859,65.0993270874023,64.5020523071289,,,
