STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,EDUCATION_LEV,Education level,MEASURE,Measure,EDUCATION_TYPE,Education type,INTENSITY,Intensity,EDUCATION_FIELD,Field of education,GRADE,Grade,FREQ,Frequency of observation,ORIGIN,Origin,DESTINATION,Destination,INST_TYPE_EDU,Type of educational institution,MOBILITY,Mobility,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_AGES,Reference date for ages,ORIGIN_CRITERION,Origin criterion,REPYEARSTART,Reference year start,REPYEAREND,Reference year end,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,COMMENT_OBS,Observation comment,DECIMALS,Decimals,TIME_PER_COLLECT,Time period collection,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,BEL,Belgium,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2021,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2013,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2014,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2015,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2016,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2017,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2018,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2019,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2020,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,COL,Colombia,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2021,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,GRC,Greece,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2013,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,GRC,Greece,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2014,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,GRC,Greece,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2015,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,GRC,Greece,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2016,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,GRC,Greece,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2017,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),Average class size,I,GRC,Greece,ISCED11_1,Primary education,CLS,Student classes,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_Z,Not applicable,_Z,Not applicable,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU_PRIV_GOV,Government dependent private educational institutions,_Z,Not applicable,ST_CL,Students per class,_T,Total,_T,Total,2018,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
