indicatorId,geoUnit,year,value,qualifier,magnitude
CR.3,ARG,2010,56.83102035522461,,
CR.3,ARG,2011,62.8,,
CR.3,ARG,2012,62.5,,
CR.3,ARG,2013,62.3,,
CR.3,ARG,2014,62.2,,
CR.3,ARG,2016,62.7,,
CR.3,ARG,2017,63,,
CR.3,ARG,2018,63.4,,
CR.3,ARG,2019,63.8,,
CR.3,ARG,2020,64.3,,
CR.3,BRA,2011,58.7,,
CR.3,BRA,2012,58.6,,
CR.3,BRA,2013,60.1,,
CR.3,BRA,2014,61.1,,
CR.3,BRA,2015,63.3,,
CR.3,BRA,2016,64,,
CR.3,BRA,2017,64.2,,
CR.3,BRA,2018,66.3,,
CR.3,BRA,2019,69.3,,
CR.3,BRA,2020,73,,
CR.3,DEU,2010,79.56,,
CR.3,DEU,2011,80.24,,
CR.3,DEU,2012,77.60000000000001,,
CR.3,DEU,2013,78.97999999999999,,
CR.3,DEU,2014,79.28,,
CR.3,DEU,2015,78.75999999999999,,
CR.3,DEU,2016,79.77,,
CR.3,DEU,2017,79.97999999999999,,
CR.3,DEU,2018,78.95,,
CR.3,DEU,2019,79.69000000000001,,
CR.3,DEU,2020,81.28,,
CR.3,FRA,2010,82.02000000000001,,
CR.3,FRA,2011,83.43,,
CR.3,FRA,2012,83.45,,
CR.3,FRA,2013,87.85,,
CR.3,FRA,2014,86.97,,
CR.3,FRA,2015,86.66,,
CR.3,FRA,2016,88.05,,
CR.3,FRA,2017,86.71,,
CR.3,FRA,2018,87.92,,
CR.3,FRA,2019,87.91,,
CR.3,FRA,2020,88.06,,
CR.3,GBR,2010,77.13,,
CR.3,GBR,2011,79.25999999999999,,
CR.3,GBR,2012,81.42,,
CR.3,GBR,2013,80.81,,
CR.3,GBR,2014,82.55,,
CR.3,GBR,2015,84.26,,
CR.3,GBR,2016,82.97,,
CR.3,GBR,2017,83.3,,
CR.3,GBR,2018,82.74000000000001,,
CR.3,GBR,2019,84.47,,
CR.3,ITA,2010,78.03,,
CR.3,ITA,2011,78.96,,
CR.3,ITA,2012,79.27,,
CR.3,ITA,2013,79.69000000000001,,
CR.3,ITA,2014,81.13,,
CR.3,ITA,2015,81.25,,
CR.3,ITA,2016,81.98,,
CR.3,ITA,2017,83.07,,
CR.3,ITA,2018,82.59,,
CR.3,ITA,2019,83.43,,
CR.3,ITA,2020,84.61,,
CR.3,MEX,2010,48.3,,
CR.3,MEX,2012,50.9,,
CR.3,MEX,2014,52.3,,
CR.3,MEX,2015,51.36523818969727,,
CR.3,MEX,2016,54.8,,
CR.3,MEX,2018,58.7,,
CR.3,MEX,2020,61.5,,
CR.3,USA,2010,90.1185302734375,,
CR.3,USA,2013,91.53,,
CR.3,USA,2015,92.98905181884766,,
CR.3,USA,2016,93.58892059326172,,
CR.3,USA,2017,93.96498107910156,,
CR.3,USA,2018,92.64,,
CR.3,USA,2019,93.4,,
CR.3,USA,2020,95.0361099243164,,
